Addressee final,Wizard addressee,Focus of attention,Method,"Expression (facial, gestural, verbal)",Speech form of address,Speech politeness,Speech type of sentence,Speech specific,Expression specific,Method specific,Time_adapted,Addressee final (reduced),Focus of attention (reduced),Vp_num,Wizard task,Condition,Order,Annotator,Addressee final Code,Focus of attention Code,Addressee final (reduced) Code,Focus of attention (reduced) Code,Speech specific (reduced),Method specific (reduced),Expression (reduced),Speech type of sentence (reduced),Speech phrasing,Addressee equals focus
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),gesture,neutral,unobserved,unobserved,unobserved,---,---,"VP klatscht. Zweimal, weil der erste Klatscher ziemlich leise war",0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),53,2,verbal,1,PH,LH,LH,LH,LH,None,Klatscht,neutral,unobserved,unobserved,TRUE
Loudspeaker (by the fridge),Apartment,Loudspeaker (by the fridge),gesture,neutral,unobserved,unobserved,unobserved,---,---,"VP klatscht, wahrscheinlich in Richtung der Musikbox",0,Parts of the apartment,Parts of the apartment,53,3,verbal,1,PH,Lo,Lo,Ap,Ap,None,Klatscht,neutral,unobserved,unobserved,TRUE
Unspecific,Apartment,Unspecific,gesture,neutral,unobserved,unobserved,unobserved,---,---,VP klatscht erneut,0,Unspecific,Unspecific,53,6,verbal,1,PH,U,U,U,U,None,Klatscht,neutral,unobserved,unobserved,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),gesture,neutral,unobserved,unobserved,unobserved,---,---,VP klatscht mehrfach oberhalb der Lampe. Unten zum Ausmachen,0,Floor lamp \(L_F\),Floor lamp \(L_F\),53,7,verbal,1,PH,LF,LF,LF,LF,None,Klatscht,neutral,unobserved,unobserved,TRUE
Screen (entrance),Apartment,Screen (entrance),touch,neutral,unobserved,unobserved,unobserved,---,---,VP berührt den Bildschirm im Eingang,0,Parts of the apartment,Parts of the apartment,54,1,verbal,2,ES,ScE,ScE,Ap,Ap,None,None,neutral,unobserved,unobserved,TRUE
Robot,Robot,Robot,speech,baffled,with Name,polite,Question (sentence),Weißt du wo es hier Musik gibt? Radio?,"VP scheint verunsichert zu sein, ob sie wirklich den Roboter ansprechen soll,","VP ist unsicher, fragt aber dann doch den Roboter: __Weißt du wo es hier Musik  gibt? Radio?__",0,Robot,Robot,54,3,verbal,2,ES,R,R,R,R,Du,None,negative,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),Ist ein Paket für mich angekommen?,---,VP fragt den Roboter: __Ist ein Paket für mich angekommen?__,0,Robot,Robot,54,4,verbal,2,ES,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,curious,with Name,polite,Question (sentence),Hat jemand mich angerufen? weißt du das?,---,VP wendet sich wieder an den Roboter: __Hat jemand mich angerufen? weißt du das?__,0,Robot,Robot,54,5,verbal,2,ES,R,R,R,R,Du,None,positive,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),Wie spät ist es denn jetzt?,---,VP fragt den Roboter: __Wie spät ist es denn jetzt?__,0,Robot,Robot,54,6,verbal,2,ES,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),gesture,neutral,unobserved,unobserved,unobserved,---,---,"VP schnipst mit den Fingern vor der Lampe dann bewegt sie mit der Hand an der Lampe entlang, um die Helligkeit zu steuern",0,Floor lamp \(L_F\),Floor lamp \(L_F\),54,7,verbal,2,ES,LF,LF,LF,LF,None,None,neutral,unobserved,unobserved,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Command (sentence),"__Muss ich wahrscheinlich mit dir reden, ne? Mach das Licht im Flur an.__",---,Vp sagt: __Muss ich wahrscheinlich mit dir reden. Mach das Licht im Flur an.__,0,Robot,Robot,57,1,nonverbal,1,PH,R,R,R,R,Licht,None,neutral,Command,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,polite,Command (sentence),__Mach das Licht im Flur wieder aus.__,---,VP sagt zum Roboter: __Mach das Lichte im Flur wieder aus.__,0,Robot,Robot,57,2,nonverbal,1,PH,R,R,R,R,Licht,None,neutral,Command,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__Ist ein Paket für mich angekommen?__,---,VP fragt Roboter: __Ist ein Paket für mich angekommen?__,0,Robot,Robot,57,4,nonverbal,1,PH,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__Hat jemand für mich angefrufen?__,---,VP fragt Roboter: __Hat jemand für mich angerufen?__,0,Robot,Robot,57,5,nonverbal,1,PH,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__Wie spät ist es?__,---,VP fragt Roboter: __Wie spät ist es?__,0,Robot,Robot,57,6,nonverbal,1,PH,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),touch,neutral,unobserved,unobserved,unobserved,---,---,VP tipt die Lampe zweimal kurz oben an,0,Floor lamp \(L_F\),Floor lamp \(L_F\),57,7,nonverbal,1,PH,LF,LF,LF,LF,None,None,neutral,unobserved,unobserved,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),__Licht an.__,---,VP sagt __Licht an.__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),58,1,nonverbal,1,PH,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),__Licht aus.__,---,VP sagt: __Licht aus.__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),58,2,nonverbal,1,PH,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Command (words),__Musik an.__,---,VP sagt __Musik an.__,0,Unspecific,Unspecific,58,3,nonverbal,1,PH,U,U,U,U,None,None,neutral,Command,Words,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),"__He, habe ich Post?__",---,"VP fragt: __ He, habe ich Post?__",0,Robot,Robot,58,4,nonverbal,1,PH,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__Hat jemand angerufen? Habe ich einen Anruf bekommen?__,---,VP fragt den Roboter: __Hat jemand angerufen?__ nach einer weiteren Sekunde: habe ich einen Anruf bekommen?__ __,0,Robot,Robot,58,5,nonverbal,1,PH,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__2Wie spät ist es?__,---,__Wie spät ist es?__,0,Robot,Robot,58,6,nonverbal,1,PH,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),touch,neutral,unobserved,unobserved,unobserved,---,---,VP berührt die Stehlampe oben am Rand,0,Floor lamp \(L_F\),Floor lamp \(L_F\),58,7,nonverbal,1,PH,LF,LF,LF,LF,None,None,neutral,unobserved,unobserved,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Command (words),__Licht an.__,---,VP sagt: __Licht an.__,0,Unspecific,Unspecific,60,1,nonverbal,2,PH,U,U,U,U,Licht,None,neutral,Command,Words,TRUE
Light in the hallway \(L_H\),Apartment,Unspecific,speech,neutral,with Name,neutral,Command (words),__Licht aus.__,---,VP sagt: __Licht aus.__,0,Light in the hallway \(L_H\),Unspecific,60,2,nonverbal,2,PH,LH,U,LH,U,Licht,None,neutral,Command,Words,FALSE
Unspecific,Apartment,Self,speech,neutral,with Name,neutral,Command (words),__Musik an.__,---,VP sagt: __Musik an.__,0,Unspecific,Unspecific,60,3,nonverbal,2,PH,U,S,U,U,None,None,neutral,Command,Words,FALSE
Screen (kitchen on worktop),Apartment,Screen (kitchen on worktop),speech,neutral,with Name,neutral,Question (words),__Paket?__,---,"VP schaut auf den Bildschirm, wie zuvor und fragt: __Paket?__",0,Parts of the apartment,Parts of the apartment,60,4,nonverbal,2,PH,ScK,ScK,Ap,Ap,None,None,neutral,Question,Words,TRUE
Screen (kitchen on worktop),Apartment,Screen (kitchen on worktop),speech,neutral,with Name,neutral,Question (words),__Uhrzeit?__,---,VP fragt: __Uhrzeit?__,0,Parts of the apartment,Parts of the apartment,60,6,nonverbal,2,PH,ScK,ScK,Ap,Ap,None,None,neutral,Question,Words,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),touch,neutral,unobserved,unobserved,unobserved,---,---,VP berührt die Stehlampe seitlich und dann oben am Ring,0,Floor lamp \(L_F\),Floor lamp \(L_F\),60,7,nonverbal,2,PH,LF,LF,LF,LF,None,None,neutral,unobserved,unobserved,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Command (words),__Licht im Flur an.__,---,VP sagt: __Licht im Flur an.__,0,Unspecific,Unspecific,61,1,verbal,1,PH,U,U,U,U,Licht,None,neutral,Command,Words,TRUE
Light in the hallway \(L_H\),Apartment,Light in the hallway \(L_H\),speech,neutral,with Name,neutral,Command (words),__Licht im Flur aus.__,---,VP sagt: __Licht im Flur aus.__,0,Light in the hallway \(L_H\),Light in the hallway \(L_H\),61,2,verbal,1,PH,LH,LH,LH,LH,Licht,None,neutral,Command,Words,TRUE
Unspecific,Apartment,Unspecific,speech,neutral,with Name,neutral,Command (words),__Musik an.__,---,VP sagt in den Raum: __Musik an.__,0,Unspecific,Unspecific,61,3,verbal,1,PH,U,U,U,U,None,None,neutral,Command,Words,TRUE
Unspecific,Robot,Unspecific,speech,neutral,with Name,neutral,Question (sentence),__Ist ein Paket für mich angekommen?__,---,VP fragt: __Ist ein Paket für mich angekommen?__,0,Unspecific,Unspecific,61,4,verbal,1,PH,U,U,U,U,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__Hat schon jemand für mich angerufen?__,---,VP fragt: __Hat schon jemand für mich angerufen?__,192,Robot,Robot,61,5,verbal,1,PH,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__Wie spät ist es?__,---,VP fragt: __Wie spät ist es?__,0,Robot,Robot,61,6,verbal,1,PH,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),gesture,neutral,unobserved,unobserved,unobserved,---,---,"VP macht an mehreren Stellen der lampe verschiedene Gestiken: Wischen oberhalb, eine ziehende Geste, angedeutetes streichen seitlich.",0,Floor lamp \(L_F\),Floor lamp \(L_F\),61,7,verbal,1,PH,LF,LF,LF,LF,None,Wisch,neutral,unobserved,unobserved,TRUE
Screen (entrance),Apartment,Screen (entrance),touch,neutral,unobserved,unobserved,unobserved,---,---,VP drückt auf Bildschirm am Apartmenteingang,0,Parts of the apartment,Parts of the apartment,63,1,nonverbal,2,PH,ScE,ScE,Ap,Ap,None,None,neutral,unobserved,unobserved,TRUE
Screen (kitchen on worktop),Apartment,Screen (kitchen on worktop),speech,neutral,with Name,neutral,Command (words),__Flurlicht ausschalten.__,---,"VP drückt auf den Bildschirm, darauf reagiert der Wizzard, VP merkt dies nicht und sagt dann: __Flurlicht ausschalten:__",0,Parts of the apartment,Parts of the apartment,63,2,nonverbal,2,PH,ScK,ScK,Ap,Ap,None,None,neutral,Command,Words,TRUE
Screen (living room window),Apartment,Screen (living room window),speech,neutral,with Name,neutral,Command (words),__Musik einschalten.__,---,VP sagt: __Musik einschalten.__,124,Parts of the apartment,Parts of the apartment,63,3,nonverbal,2,PH,ScLwi,ScLwi,Ap,Ap,None,None,neutral,Command,Words,TRUE
Robot,Robot,Robot,speech,neutral,with Name,neutral,Question (sentence),__Wo ist das Paket?__,---,VP fragt: __Wo ist das paket?__,0,Robot,Robot,63,4,nonverbal,2,PH,R,R,R,R,None,None,neutral,Question,Sentence,TRUE
Screen (living room window),Apartment,Screen (living room window),speech,neutral,with Name,neutral,Question (sentence),__Habe ich verpasste Anrufe?__,---,VP fragt: __Habe ich verpasste Anrufe?__,0,Parts of the apartment,Parts of the apartment,63,5,nonverbal,2,PH,ScLwi,ScLwi,Ap,Ap,None,None,neutral,Question,Sentence,TRUE
Screen (living room window),Apartment,Screen (living room window),speech,neutral,with Name,neutral,Question (sentence),__Wie spät ist es?__,---,VP fragt: __Wie spät ist es?__,0,Parts of the apartment,Parts of the apartment,63,6,nonverbal,2,PH,ScLwi,ScLwi,Ap,Ap,None,None,neutral,Question,Sentence,TRUE
Floor lamp \(L_F\),Floor lamp \(L_F\),Floor lamp \(L_F\),touch,baffled,unobserved,unobserved,unobserved,---,"VP scheint nicht wirklich zu wissen, wie er die Lampe steuert","VP scheint versucht zu haben, mit dem Fuß die Lampe mit dem Schalter anzustellen, danach verwendet er dann Gestik",0,Floor lamp \(L_F\),Floor lamp \(L_F\),63,7,nonverbal,2,PH,LF,LF,LF,LF,None,None,negative,unobserved,unobserved,TRUE
